CleanedRegulatedEntityId,RegulatedEntityId,CleanedRegulatedEntityName,PartyName,PartyId,Political Leaning,Special Interest
106,106,British National Party,BNP,106,Nationalist,Nationalist
6537,6537,Abisola Ifasawo,Conservative And Unionist Party,52,Political Party,Great Britain
1318,1318,Adam Holloway,Conservative And Unionist Party,52,Political Party,Great Britain
1318,1651,Adam Holloway,Conservative And Unionist Party,52,Political Party,Great Britain
2453,2453,Afzal Amin,Conservative And Unionist Party,52,Political Party,Great Britain
1941,1941,Aidan Burley,Conservative And Unionist Party,52,Political Party,Great Britain
1369,1369,Alan Duncan,Conservative And Unionist Party,52,Political Party,Great Britain
2859,2859,Alan Mak,Conservative And Unionist Party,52,Political Party,Great Britain
6304,6304,Alec Shelbrooke,Conservative And Unionist Party,52,Political Party,Great Britain
6645,6645,Alex Burghart,Conservative And Unionist Party,52,Political Party,Great Britain
6311,6311,Alexander Stewart,Conservative And Unionist Party,52,Political Party,Great Britain
2322,2322,Alistair Burt,Conservative And Unionist Party,52,Political Party,Great Britain
1843,1843,Alok Sharma,Conservative And Unionist Party,52,Political Party,Great Britain
1997,1997,Alun Cairns,Conservative And Unionist Party,52,Political Party,Great Britain
2452,2452,Alun Craig Williams,Conservative And Unionist Party,52,Political Party,Great Britain
4097,4097,Amanda Milling,Conservative And Unionist Party,52,Political Party,Great Britain
1928,1928,Amber Rudd,Conservative And Unionist Party,52,Political Party,Great Britain
2860,2860,Andrea Jenkyns,Conservative And Unionist Party,52,Political Party,Great Britain
1524,1524,Andrea Leadsom,Conservative And Unionist Party,52,Political Party,Great Britain
1524,1686,Andrea Leadsom,Conservative And Unionist Party,52,Political Party,Great Britain
6423,6423,Andrew Bingham,Conservative And Unionist Party,52,Political Party,Great Britain
6777,6777,Andrew Bowie,Conservative And Unionist Party,52,Political Party,Great Britain
1640,1640,Andrew Bridgen,Conservative And Unionist Party,52,Political Party,Great Britain
1495,1495,Andrew Griffiths,Conservative And Unionist Party,52,Political Party,Great Britain
1029,1029,Andrew Lansley,Conservative And Unionist Party,52,Political Party,Great Britain
1238,1238,Andrew Mackay,Conservative And Unionist Party,52,Political Party,Great Britain
1334,1334,Andrew Mitchell,Conservative And Unionist Party,52,Political Party,Great Britain
1606,1606,Andrew Murrison,Conservative And Unionist Party,52,Political Party,Great Britain
1778,1778,Andrew Percy,Conservative And Unionist Party,52,Political Party,Great Britain
1423,1423,Andrew Robathan,Conservative And Unionist Party,52,Political Party,Great Britain
1283,1283,Andrew Rosindell,Conservative And Unionist Party,52,Political Party,Great Britain
1420,1420,Andrew Selous,Conservative And Unionist Party,52,Political Party,Great Britain
1929,1929,Andrew Stephenson,Conservative And Unionist Party,52,Political Party,Great Britain
5284,5284,Andrew Turner,Conservative And Unionist Party,52,Political Party,Great Britain
1380,1380,Andrew Tyrie,Conservative And Unionist Party,52,Political Party,Great Britain
1257,1257,Angela Browning,Conservative And Unionist Party,52,Political Party,Great Britain
1441,1441,Angie Bray,Conservative And Unionist Party,52,Political Party,Great Britain
1500,1500,Ann Widdecombe,Conservative And Unionist Party,52,Political Party,Great Britain
1503,1503,Ann Winterton,Conservative And Unionist Party,52,Political Party,Great Britain
2364,2364,Anna Soubry,Conservative And Unionist Party,52,Political Party,Great Britain
2887,2887,Anne Main,Conservative And Unionist Party,52,Political Party,Great Britain
1841,1841,Anne Marie Morris,Conservative And Unionist Party,52,Political Party,Great Britain
1437,1437,Anne Milton,Conservative And Unionist Party,52,Political Party,Great Britain
2192,2192,Anne-Marie Trevelyan,Conservative And Unionist Party,52,Political Party,Great Britain
1225,1225,Archie Norman,Conservative And Unionist Party,52,Political Party,Great Britain
6341,6341,Ben Howlett,Conservative And Unionist Party,52,Political Party,Great Britain
1620,1620,Bernard Jenkin,Conservative And Unionist Party,52,Political Party,Great Britain
1317,1317,Bill Wiggin,Conservative And Unionist Party,52,Political Party,Great Britain
1402,1402,Boris Johnson,Conservative And Unionist Party,52,Political Party,Great Britain
1402,1425,Boris Johnson,Conservative And Unionist Party,52,Political Party,Great Britain
2094,2094,Brandon Lewis,Conservative And Unionist Party,52,Political Party,Great Britain
1511,1511,Brian Binley,Conservative And Unionist Party,52,Political Party,Great Britain
1370,1370,Brooks Newmark,Conservative And Unionist Party,52,Political Party,Great Britain
2862,2862,Byron Davies,Conservative And Unionist Party,52,Political Party,Great Britain
2866,2866,Caroline Ansell,Conservative And Unionist Party,52,Political Party,Great Britain
1837,1837,Caroline Dinenage,Conservative And Unionist Party,52,Political Party,Great Britain
1457,1457,Caroline Nokes,Conservative And Unionist Party,52,Political Party,Great Britain
1457,1818,Caroline Nokes,Conservative And Unionist Party,52,Political Party,Great Britain
1050,1050,Caroline Spelman,Conservative And Unionist Party,52,Political Party,Great Britain
1122,1122,Charles Hendry,Conservative And Unionist Party,52,Political Party,Great Britain
1529,1529,Charlie Elphicke,Conservative And Unionist Party,52,Political Party,Great Britain
1683,1683,Charlotte Leslie,Conservative And Unionist Party,52,Political Party,Great Britain
1110,1110,Cheryl Gillan,Conservative And Unionist Party,52,Political Party,Great Britain
1599,1599,Chloe Smith,Conservative And Unionist Party,52,Political Party,Great Britain
1642,1642,Chris Kelly,Conservative And Unionist Party,52,Political Party,Great Britain
1659,1659,Chris White,Conservative And Unionist Party,52,Political Party,Great Britain
2258,2258,Christopher Green,Conservative And Unionist Party,52,Political Party,Great Britain
1038,1038,Christopher Heaton-Harris,Conservative And Unionist Party,52,Political Party,Great Britain
1489,1489,Christopher Pincher,Conservative And Unionist Party,52,Political Party,Great Britain
1489,1807,Christopher Pincher,Conservative And Unionist Party,52,Political Party,Great Britain
1937,1937,Claire Perry,Conservative And Unionist Party,52,Political Party,Great Britain
1569,1569,Conor Burns,Conservative And Unionist Party,52,Political Party,Great Britain
1569,1663,Conor Burns,Conservative And Unionist Party,52,Political Party,Great Britain
4096,4096,Craig Mackinlay,Conservative And Unionist Party,52,Political Party,Great Britain
4100,4100,Craig Tracey,Conservative And Unionist Party,52,Political Party,Great Britain
1660,1660,Craig Whittaker,Conservative And Unionist Party,52,Political Party,Great Britain
1061,1061,Crispin Blunt,Conservative And Unionist Party,52,Political Party,Great Britain
1393,1393,Dame Angela Watkinson,Conservative And Unionist Party,52,Political Party,Great Britain
1557,1557,Damian Collins,Conservative And Unionist Party,52,Political Party,Great Britain
1587,1587,Damian Green,Conservative And Unionist Party,52,Political Party,Great Britain
6647,6647,Damien Moore,Conservative And Unionist Party,52,Political Party,Great Britain
1665,1665,Daniel Byles,Conservative And Unionist Party,52,Political Party,Great Britain
1426,1426,Daniel Kawczynski,Conservative And Unionist Party,52,Political Party,Great Britain
2586,2586,Daniel Poulter,Conservative And Unionist Party,52,Political Party,Great Britain
1189,1189,David Amess,Conservative And Unionist Party,52,Political Party,Great Britain
1985,1985,David Burrowes,Conservative And Unionist Party,52,Political Party,Great Britain
1137,1137,David Cameron,Conservative And Unionist Party,52,Political Party,Great Britain
1137,1337,David Cameron,Conservative And Unionist Party,52,Political Party,Great Britain
1133,1133,David Davis,Conservative And Unionist Party,52,Political Party,Great Britain
1133,1274,David Davis,Conservative And Unionist Party,52,Political Party,Great Britain
1570,1570,David Gauke,Conservative And Unionist Party,52,Political Party,Great Britain
1605,1605,David Heathcoat-Amory,Conservative And Unionist Party,52,Political Party,Great Britain
4014,4014,David Jones,Conservative And Unionist Party,52,Political Party,Great Britain
1297,1297,David Laurie Ruffley,Conservative And Unionist Party,52,Political Party,Great Britain
1098,1098,David Lidington,Conservative And Unionist Party,52,Political Party,Great Britain
2815,2815,David Mackintosh,Conservative And Unionist Party,52,Political Party,Great Britain
1199,1199,David Martin,Conservative And Unionist Party,52,Political Party,Great Britain
1944,1944,David Morris,Conservative And Unionist Party,52,Political Party,Great Britain
1491,1491,David Mundell,Conservative And Unionist Party,52,Political Party,Great Britain
4098,4098,David Nuttall,Conservative And Unionist Party,52,Political Party,Great Britain
1866,1866,David Rutley,Conservative And Unionist Party,52,Political Party,Great Britain
1879,1879,David Tredinnick,Conservative And Unionist Party,52,Political Party,Great Britain
2225,2225,David Warburton,Conservative And Unionist Party,52,Political Party,Great Britain
1422,1422,David Willetts,Conservative And Unionist Party,52,Political Party,Great Britain
2817,2817,Derek Thomas,Conservative And Unionist Party,52,Political Party,Great Britain
1034,1034,Desmond Swayne,Conservative And Unionist Party,52,Political Party,Great Britain
1049,1049,Dominic Grieve,Conservative And Unionist Party,52,Political Party,Great Britain
1644,1644,Dominic Raab,Conservative And Unionist Party,52,Political Party,Great Britain
1588,1588,Douglas Hogg,Conservative And Unionist Party,52,Political Party,Great Britain
5268,5268,Douglas Ross,Conservative And Unionist Party,52,Political Party,Great Britain
4092,4092,Edward Argar,Conservative And Unionist Party,52,Political Party,Great Britain
1112,1112,Edward Garnier,Conservative And Unionist Party,52,Political Party,Great Britain
1545,1545,Edward Leigh,Conservative And Unionist Party,52,Political Party,Great Britain
1361,1361,Edward Vaizey,Conservative And Unionist Party,52,Political Party,Great Britain
9108,9108,Elizabeth Truss,Conservative And Unionist Party,52,Political Party,Great Britain
2844,2844,Eric Pickles,Conservative And Unionist Party,52,Political Party,Great Britain
9203,9203,Esther Mcvey,Conservative And Unionist Party,52,Political Party,Great Britain
1235,1235,Francis Maude,Conservative And Unionist Party,52,Political Party,Great Britain
1959,1959,Gareth Johnson,Conservative And Unionist Party,52,Political Party,Great Britain
1167,1167,Gary Nicholas Streeter,Conservative And Unionist Party,52,Political Party,Great Britain
6696,6696,Gavin Williamson,Conservative And Unionist Party,52,Political Party,Great Britain
1373,1373,Geoffrey Clifton-Brown,Conservative And Unionist Party,52,Political Party,Great Britain
1894,1894,George Hollingbery,Conservative And Unionist Party,52,Political Party,Great Britain
1088,1088,George Iain Duncan-Smith,Conservative And Unionist Party,52,Political Party,Great Britain
1115,1115,George Osborne,Conservative And Unionist Party,52,Political Party,Great Britain
6893,6893,Gillian Keegan,Conservative And Unionist Party,52,Political Party,Great Britain
1033,1033,Gillian Shephard,Conservative And Unionist Party,52,Political Party,Great Britain
1582,1582,Gordon Henderson,Conservative And Unionist Party,52,Political Party,Great Britain
1292,1292,Graham Brady,Conservative And Unionist Party,52,Political Party,Great Britain
2070,2070,Graham Evans,Conservative And Unionist Party,52,Political Party,Great Britain
1339,1339,Graham Stuart,Conservative And Unionist Party,52,Political Party,Great Britain
1593,1593,Grant Shapps,Conservative And Unionist Party,52,Political Party,Great Britain
1340,1340,Greg Clark,Conservative And Unionist Party,52,Political Party,Great Britain
1549,1549,Gregory Barker,Conservative And Unionist Party,52,Political Party,Great Britain
2361,2361,Guto Bebb,Conservative And Unionist Party,52,Political Party,Great Britain
2060,2060,Guy Opperman,Conservative And Unionist Party,52,Political Party,Great Britain
1438,1438,Harriett Baldwin,Conservative And Unionist Party,52,Political Party,Great Britain
1438,1661,Harriett Baldwin,Conservative And Unionist Party,52,Political Party,Great Britain
1672,1672,Heather Wheeler,Conservative And Unionist Party,52,Political Party,Great Britain
1838,1838,Helen Grant,Conservative And Unionist Party,52,Political Party,Great Britain
3908,3908,Helen Whately,Conservative And Unionist Party,52,Political Party,Great Britain
1165,1165,Henry Bellingham,Conservative And Unionist Party,52,Political Party,Great Britain
1780,1780,Henry Smith,Conservative And Unionist Party,52,Political Party,Great Britain
1074,1074,Howard Flight,Conservative And Unionist Party,52,Political Party,Great Britain
1178,1178,Hugh Robertson,Conservative And Unionist Party,52,Political Party,Great Britain
1401,1401,Hugo Swire,Conservative And Unionist Party,52,Political Party,Great Britain
1289,1289,Humfrey Malins Cbe,Conservative And Unionist Party,52,Political Party,Great Britain
1158,1158,Iain Stewart,Conservative And Unionist Party,52,Political Party,Great Britain
1158,1494,Iain Stewart,Conservative And Unionist Party,52,Political Party,Great Britain
1158,1828,Iain Stewart,Conservative And Unionist Party,52,Political Party,Great Britain
1595,1595,Ian Liddell-Grainger,Conservative And Unionist Party,52,Political Party,Great Britain
1239,1239,Ian Taylor Mbe,Conservative And Unionist Party,52,Political Party,Great Britain
1104,1104,Jacqui Lait,Conservative And Unionist Party,52,Political Party,Great Britain
1286,1286,James Arbuthnot,Conservative And Unionist Party,52,Political Party,Great Britain
1347,1347,James Brokenshire,Conservative And Unionist Party,52,Political Party,Great Britain
2863,2863,James Cleverly,Conservative And Unionist Party,52,Political Party,Great Britain
4239,4239,James Davies,Conservative And Unionist Party,52,Political Party,Great Britain
