mnis_id,given_name,family_name,display_name,party_mnis_id,party_name,party_membership_start_date,party_membership_end_date
172,Diane,Abbott,Ms Diane Abbott,15,Labour,1987-06-11,
172,Diane,Abbott,Ms Diane Abbott,8,Independent,2023-04-23,
172,Diane,Abbott,Ms Diane Abbott,15,Labour,2024-05-28,
4212,Deborah,Abrahams,Debbie Abrahams,15,Labour,2011-01-13,
663,Allender,Adams,Allen Adams,15,Labour,1900-01-01,
645,Gerard,Adams,Mr Gerry Adams,30,Sinn Féin,1983-06-09,
631,Katherine,Adams,Baroness Adams of Craigielea,15,Labour,1990-11-29,
4057,Nigel,Adams,Nigel Adams,4,Conservative,2010-05-06,2023-06-12
4639,Abimbola,Afolami,Bim Afolami,4,Conservative,2017-06-08,2024-05-30
1586,Adam,Afriyie,Adam Afriyie,4,Conservative,2005-05-05,2024-05-30
4841,Imran,Ahmad Khan,Imran Ahmad Khan,4,Conservative,2019-12-12,
4841,Imran,Ahmad Khan,Imran Ahmad Khan,8,Independent,2021-06-18,2022-05-03
4427,Tasmina,Ahmed-Sheikh,Ms Tasmina Ahmed-Sheikh,29,Scottish National Party,2015-05-07,2017-05-03
4741,Nicola,Aiken,Nickie Aiken,4,Conservative,2019-12-12,2024-05-30
537,Nicholas,Ainger,Nick Ainger,15,Labour,1992-04-09,
99,Peter,Ainsworth,Mr Peter Ainsworth,4,Conservative,1992-04-09,
306,Robert,Ainsworth,Mr Bob Ainsworth,15,Labour,1992-04-09,2015-03-30
735,Jonathan,Aitken,Jonathan Aitken,4,Conservative,1900-01-01,
4069,Peter,Aldous,Peter Aldous,4,Conservative,2010-05-06,2024-05-30
632,Douglas,Alexander,Mr Douglas Alexander,15,Labour,1997-11-06,
1535,Daniel,Alexander,Danny Alexander,17,Liberal Democrat,2005-05-05,2015-03-30
4038,Heidi,Alexander,Heidi Alexander,15,Labour,2010-05-06,
4138,Rushanara,Ali,Rushanara Ali,15,Labour,2010-05-06,
4747,Tahir,Ali,Tahir Ali,15,Labour,2019-12-12,
397,Richard,Allan,Lord Allan of Hallam,17,Liberal Democrat,1997-05-01,
4411,Lucy,Allan,Lucy Allan,4,Conservative,2015-05-07,
4411,Lucy,Allan,Lucy Allan,8,Independent,2024-05-27,2024-05-30
397,Richard,Allan,Lord Allan of Hallam,49,Non-affiliated,2024-10-02,
1611,James,Allason,James Allason,4,Conservative,1900-01-01,2011-06-16
730,Rupert,Allason,Rupert Allason,4,Conservative,1994-07-01,
364,Graham,Allen,Mr Graham Allen,15,Labour,1987-06-11,2017-05-03
4516,Heidi-Suzanne,Allen,Heidi Allen,4,Conservative,2015-05-07,2019-02-20
4516,Heidi-Suzanne,Allen,Heidi Allen,8,Independent,2019-02-20,2019-04-18
4516,Heidi-Suzanne,Allen,Heidi Allen,1007,Change UK - The Independent Group,2019-04-18,2019-06-04
4516,Heidi-Suzanne,Allen,Heidi Allen,1004,The Independent Group for Change,2019-04-18,2019-06-04
4516,Heidi-Suzanne,Allen,Heidi Allen,8,Independent,2019-06-04,
4516,Heidi-Suzanne,Allen,Heidi Allen,17,Liberal Democrat,2019-10-07,2019-11-06
4573,Rosena,Allin-Khan,Dr Rosena Allin-Khan,15,Labour,2016-06-16,
738,David,Alton,Lord Alton of Liverpool,6,Crossbench,1997-06-12,
4667,Michael,Amesbury,Mike Amesbury,15,Labour,2017-06-08,
4667,Michael,Amesbury,Mike Amesbury,8,Independent,2024-10-27,
44,David,Amess,Sir David Amess,4,Conservative,1983-06-09,2021-10-15
1212,Alan,Amos,Mr Alan Amos,4,Conservative,1987-06-11,
259,Michael,Ancram,The Marquess of Lothian,4,Conservative,1974-02-28,2024-10-01
568,Donald,Anderson,Lord Anderson of Swansea,15,Labour,1966-03-31,
475,Janet,Anderson,Janet Anderson,15,Labour,1992-04-09,
1486,David,Anderson,Mr David Anderson,15,Labour,2005-05-05,2017-05-03
4742,Stuart,Anderson,Stuart Anderson,4,Conservative,2019-12-12,
4788,Fleur,Anderson,Fleur Anderson,15,Labour,2019-12-12,
4743,Lee,Anderson,Lee Anderson,4,Conservative,2019-12-12,
4743,Lee,Anderson,Lee Anderson,8,Independent,2024-02-24,2024-03-11
4743,Lee,Anderson,Lee Anderson,1036,Reform UK,2024-03-11,
4032,Stuart,Andrew,Stuart Andrew,4,Conservative,2010-05-06,
4512,Caroline,Ansell,Caroline Ansell,4,Conservative,2015-05-07,2024-05-30
4623,Antonia,Antoniazzi,Tonia Antoniazzi,15,Labour,2017-06-08,
56,James,Arbuthnot,Lord Arbuthnot of Edrom,4,Conservative,1987-06-11,
741,Peter,Archer,Lord Archer of Sandwell,15,Labour,1992-07-09,2012-06-14
1612,Jeffrey,Archer,Lord Archer of Weston-Super-Mare,49,Non-affiliated,1999-11-22,2024-07-04
4362,Edward,Argar,Edward Argar,4,Conservative,2015-05-07,
4387,Richard,Arkless,Richard Arkless,29,Scottish National Party,2015-05-07,2017-05-03
4150,Hilary,Armstrong,Baroness Armstrong of Hill Top,15,Labour,1987-06-11,
973,Thomas,Arnold,Sir Thomas Arnold,4,Conservative,1900-01-01,
1205,Jacques,Arnold,Mr Jacques Arnold,4,Conservative,1900-01-01,
742,David,Ashby,David Ashby,4,Conservative,1900-01-01,
258,Jeremy,Ashdown,Lord Ashdown of Norton-sub-Hamdon,17,Liberal Democrat,1988-03-03,2018-12-22
971,Jack,Ashley,Lord Ashley of Stoke,15,Labour,1992-07-10,2012-04-20
358,Joseph,Ashton,Mr Joe Ashton,15,Labour,1968-10-31,
4244,Jonathan,Ashworth,Jonathan Ashworth,15,Labour,2011-05-05,2024-05-30
743,Jack,Aspinwall,Jack Aspinwall,4,Conservative,1900-01-01,
224,Candice,Atherton,Ms Candy Atherton,15,Labour,1997-05-01,
4855,Sarah,Atherton,Sarah Atherton,4,Conservative,2019-12-12,2024-05-30
970,Humphrey,Atkins,Sir Humphrey Atkins,4,Conservative,1900-01-01,
975,Robert,Atkins,Sir Robert Atkins,4,Conservative,1900-01-01,
1613,Ronald,Atkins,Ronald Atkins,15,Labour,1900-01-01,
284,Charlotte,Atkins,Charlotte Atkins,15,Labour,1997-05-01,
4399,Victoria,Atkins,Victoria Atkins,4,Conservative,2015-05-07,
972,Norman,Atkinson,Norman Atkinson,15,Labour,1900-01-01,
240,David,Atkinson,Mr David Atkinson,4,Conservative,1977-11-24,2012-01-23
515,Peter,Atkinson,Mr Peter Atkinson,4,Conservative,1992-04-09,
168,John,Austin,John Austin,15,Labour,1992-04-09,
1511,Ian,Austin,Lord Austin of Dudley,15,Labour,2005-05-05,2019-02-22
1511,Ian,Austin,Lord Austin of Dudley,8,Independent,2019-02-22,2019-11-06
1511,Ian,Austin,Lord Austin of Dudley,49,Non-affiliated,2020-09-02,
1451,Richard,Bacon,Mr Richard Bacon,4,Conservative,2001-06-07,2024-05-30
4798,Gareth,Bacon,Gareth Bacon,4,Conservative,2019-12-12,
4597,Olukemi,Badenoch,Mrs Kemi Badenoch,4,Conservative,2017-06-08,
744,Gordon,Bagier,Gordon Bagier,15,Labour,1900-01-01,2012-04-09
3959,Louise,Bagshawe,Mrs Louise Mensch,4,Conservative,2010-05-01,2012-08-29
320,Adrian,Bailey,Mr Adrian Bailey,15,Labour,2000-09-23,2019-11-06
4757,Shaun,Bailey,Shaun Bailey,4,Conservative,2019-12-12,2024-05-30
4847,Siobhan,Baillie,Siobhan Baillie,4,Conservative,2019-12-12,2024-05-30
1610,Willie,Bain,Mr William Bain,15,Labour,2009-11-12,2015-03-30
1445,Vera,Baird,Vera Baird,15,Labour,2001-06-07,
28,Norman,Baker,Norman Baker,17,Liberal Democrat,1997-05-01,2015-03-30
1028,Kenneth,Baker,Lord Baker of Dorking,4,Conservative,1997-06-16,
4064,Steven,Baker,Mr Steve Baker,4,Conservative,2010-05-06,2024-05-30
4784,Duncan,Baker,Duncan Baker,4,Conservative,2019-12-12,2024-05-30
93,Anthony,Baldry,Sir Tony Baldry,4,Conservative,1983-06-09,2015-03-30
4107,Harriett,Baldwin,Dame Harriett Baldwin,4,Conservative,2010-05-06,
256,Jacqueline,Ballard,Jackie Ballard,17,Liberal Democrat,1997-05-01,
1549,Edward,Balls,Ed Balls,15,Labour,2005-05-05,2015-03-30
1084,Robert,Banks,Robert Banks,4,Conservative,1974-02-28,
3748,Anthony,Banks,Lord Stratford,15,Labour,1983-06-09,2006-01-08
1090,Matthew,Banks,Matthew Banks,4,Conservative,1992-04-09,
1589,Gordon,Banks,Gordon Banks,15,Labour,2005-05-05,2015-03-30
4095,Stephen,Barclay,Steve Barclay,4,Conservative,2010-05-06,
4486,Hannah,Bardell,Hannah Bardell,29,Scottish National Party,2015-05-07,2024-05-30
1389,Gregory,Barker,Lord Barker of Battle,4,Conservative,2001-06-07,
4828,Paula,Barker,Paula Barker,15,Labour,2019-12-12,
1532,Celia,Barlow,Ms Celia Barlow,15,Labour,2005-05-05,
1615,Michael,Barnes,Michael Barnes,15,Labour,1900-01-01,
331,Harold,Barnes,Mr Harry Barnes,15,Labour,1987-06-11,
682,Rosemary,Barnes,Mrs Rosie Barnes,12,Independent SDP,1990-06-03,
1038,Nicolas,Barnett,Guy Barnett,15,Labour,1962-11-22,
1018,Joel,Barnett,Lord Barnett,15,Labour,1983-09-30,2014-11-01
1390,John,Baron,Mr John Baron,4,Conservative,2001-06-07,2024-05-30
1412,John,Barrett,John Barrett,17,Liberal Democrat,2001-06-07,
392,Kevin,Barron,Sir Kevin Barron,15,Labour,1983-06-09,2019-11-06
3955,Gavin,Barwell,Lord Barwell,4,Conservative,2010-05-06,
1616,Alfred,Bates,Alfred Bates,15,Labour,1900-01-01,
1091,Michael,Bates,Lord Bates,4,Conservative,2008-06-30,
745,Spencer,Batiste,Spencer Batiste,4,Conservative,1900-01-01,
417,John,Battle,John Battle,15,Labour,1987-06-11,
385,Hugh,Bayley,Sir Hugh Bayley,15,Labour,1992-04-09,2015-03-30
4800,Simon,Baynes,Simon Baynes,4,Conservative,2019-12-12,2024-05-30
144,Christopher,Beard,Mr Nigel Beard,15,Labour,1997-05-01,
3910,Guto,Bebb,Guto Bebb,4,Conservative,2010-05-06,
3910,Guto,Bebb,Guto Bebb,8,Independent,2019-09-03,
328,Margaret,Beckett,Baroness Beckett,15,Labour,1974-10-10,
572,Margaret,Begg,Dame Anne Begg,15,Labour,1997-05-01,2015-03-30
646,John,Beggs,Mr Roy Beggs,38,Ulster Unionist Party,1983-06-09,
4697,Órfhlaith,Begley,Órfhlaith Begley,30,Sinn Féin,2018-05-03,
4790,Apsana,Begum,Apsana Begum,15,Labour,2019-12-12,
4790,Apsana,Begum,Apsana Begum,8,Independent,2024-07-23,
513,Alan,Beith,Lord Beith,17,Liberal Democrat,1988-03-02,
1060,Ronald,Bell,Sir Ronald Bell,4,Conservative,1945-05-17,
501,Stuart,Bell,Sir Stuart Bell,15,Labour,1983-06-09,2012-10-13
431,Martin,Bell,Mr Martin Bell,8,Independent,1997-05-01,
4837,Aaron,Bell,Aaron Bell,4,Conservative,2019-12-12,2024-05-30
1441,Henry,Bellingham,Lord Bellingham,4,Conservative,1983-06-09,
719,David,Bellotti,David Bellotti,17,Liberal Democrat,1990-10-18,
1192,Vivian,Bendall,Mr Vivian Bendall,4,Conservative,1978-03-02,
326,Anthony,Benn,Mr Tony Benn,15,Labour,1950-11-30,
