Original RegulatedEntityId,RegulatedEntityId,OriginalRegulatedEntityName,RegulatedEntityName,RegisterName,RegulatedDoneeType,RegulatedEntityType
6304,6304,Alec Shelbrooke,Alec Shelbrooke,Great Britain,Cllr. - Member of a Local Authority,Regulated Donee
6423,6423,Andrew Bingham Mp,Andrew Bingham Mp,Great Britain,Cllr. - Member of a Local Authority,Regulated Donee
1425,1425,Mr Boris Johnson Mp,Mr Boris Johnson Mp,Great Britain,Cllr. - Member of a Local Authority,Regulated Donee
2061,2061,Mr John Lamont Msp,Mr John Lamont Msp,Great Britain,Cllr. - Member of a Local Authority,Regulated Donee
6417,6417,Mr Sean Anstee,Mr Sean Anstee,Great Britain,Cllr. - Member of a Local Authority,Regulated Donee
1921,1921,Ms Nicola Blackwood Mp,Ms Nicola Blackwood Mp,Great Britain,Cllr. - Member of a Local Authority,Regulated Donee
1426,1426,Mr Daniel Kawczynski Mp,Mr Daniel Kawczynski Mp,Great Britain,Leadership Candidate,Regulated Donee
1239,1239,Mr Ian Taylor Mbe Mp,Mr Ian Taylor Mbe Mp,Great Britain,Leadership Candidate,Regulated Donee
6553,6553,Mr Imran Hussain Mp,Mr Imran Hussain Mp,Great Britain,Leadership Candidate,Regulated Donee
1453,1453,Mr Ivan Lewis Mp,Mr Ivan Lewis Mp,Great Britain,Leadership Candidate,Regulated Donee
1377,1377,Mr Jonathan Cruddas Mp,Mr Jonathan Cruddas Mp,Great Britain,Leadership Candidate,Regulated Donee
1157,1157,Mr Julian Brazier Mp,Mr Julian Brazier Mp,Great Britain,Leadership Candidate,Regulated Donee
6633,6633,Mr Lloyd Russell-Moyle,Mr Lloyd Russell-Moyle,Great Britain,Leadership Candidate,Regulated Donee
7933,7933,Mr Mark Drakeford,Mr Mark Drakeford,Great Britain,Leadership Candidate,Regulated Donee
1319,1319,Mr Mark Field Mp,Mr Mark Field Mp,Great Britain,Leadership Candidate,Regulated Donee
1450,1450,Mr Mark Harper Mp,Mr Mark Harper Mp,Great Britain,Leadership Candidate,Regulated Donee
